Word,term_id
kingdom,2091
slow,2092
summer,2093
vacat,2094
shuchiin,2095
term,2096
august,2097
transit,2098
septemb,2099
miyuki,2100
shirogan,2101
birthday,2102
kaguya,2103
shinomiya,2104
predica,2105
celebr,2106
furthermor,2107
tenur,2108
67th,2109
council,2110
cun,2111
elect,2112
covet,2113
presid,2114
takashi,2115
natsum,2116
timid,2117
youkai,2118
expert,2119
book,2120
glutton,2121
bodyguard,2122
arrog,2123
madara,2124
nyanko,2125
sensei,2126
unassum,2127
pudgi,2128
cat,2129
briefli,2130
separ,2131
kidnap,2132
monkey,2133
nose,2134
enlist,2135
matoba,2136
nemesi,2137
hideout,2138
yuujinch,2139
sweep,2140
friendship,2141
fractur,2142
contin,2143
telesi,2144
began,2145
flourish,2146
bloodsh,2147
sole,2148
decim,2149
maim,2150
bloodi,2151
skirmish,2152
dearest,2153
ch,2154
postal,2155
intend,2156
guardian,2157
pure,2158
amanuens,2159
transcrib,2160
thought,2161
paper,2162
notion,2163
reshap,2164
mana,2165
calam,2166
rudeu,2167
greyrat,2168
eri,2169
borea,2170
teleport,2171
ruijerd,2172
supardia,2173
superd,2174
warrior,2175
fittoa,2176
advic,2177
faceless,2178
hitogami,2179
kishirika,2180
kishirisu,2181
emperor,2182
abil,2183
offer,2184
opportun,2185
bargain,2186
hinder,2187
spearhead,2188
squadron,2189
horizon,2190
republ,2191
magnolia,2192
endless,2193
propaganda,2194
vladilena,2195
milizé,2196
handler,2197
dehuman,2198
86th,2199
legion,2200
front,2201
shinei,2202
nouzen,2203
squad,2204
quarantin,2205
giad,2206
formerli,2207
giadian,2208
govern,2209
eighti,2210
citizenship,2211
ernst,2212
zimmerman,2213
adopt,2214
empress,2215
augusta,2216
frederica,2217
adel,2218
adler,2219
calm,2220
tender,2221
battlefield,2222
federaci,2223
nordlicht,2224
repeat,2225
matter,2226
pain,2227
comfort,2228
accustom,2229
contain,2230
grandmoth,2231
reiko,2232
seal,2233
contract,2234
better,2235
tool,2236
exorcist,2237
disrupt,2238
torment,2239
open,2240
month,2241
sakuta,2242
azusagawa,2243
bunni,2244
librari,2245
bliss,2246
mai,2247
sakurajima,2248
reappear,2249
adult,2250
makinohara,2251
add,2252
complic,2253
grave,2254
scar,2255
throb,2256
whenev,2257
simon,2258
kamina,2259
underground,2260
fabl,2261
loos,2262
cannon,2263
bent,2264
excav,2265
object,2266
ignit,2267
ancient,2268
artifact,2269
lagann,2270
yoko,2271
littner,2272
hot,2273
redhead,2274
gun,2275
aftermath,2276
sky,2277
